Suburb,Address,Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize
Abbotsford,85 Turner St,2,h,1480000,3/12/2016,2.5,3067,1,1,202
Abbotsford,25 Bloomburg St,2,h,1035000,4/02/2016,2.5,3067,1,0,156
Abbotsford,5 Charles St,3,h,1465000,4/03/2017,2.5,3067,2,0,134
Abbotsford,40 Federation La,3,h,850000,4/03/2017,2.5,3067,2,1,94
Abbotsford,55a Park St,4,h,1600000,4/06/2016,2.5,3067,1,2,120
Abbotsford,129 Charles St,2,h,941000,7/05/2016,2.5,3067,1,0,181
Abbotsford,124 Yarra St,3,h,1876000,7/05/2016,2.5,3067,2,0,245
Abbotsford,98 Charles St,2,h,1636000,8/10/2016,2.5,3067,1,2,256
Abbotsford,6/241 Nicholson St,1,u,300000,8/10/2016,2.5,3067,1,1,0
Abbotsford,10 Valiant St,2,h,1097000,8/10/2016,2.5,3067,1,2,220
Abbotsford,411/8 Grosvenor St,2,u,700000,12/11/2016,2.5,3067,2,1,0
Abbotsford,40 Nicholson St,3,h,1350000,12/11/2016,2.5,3067,2,2,214
Abbotsford,123/56 Nicholson St,2,u,750000,12/11/2016,2.5,3067,2,1,0
Abbotsford,45 William St,2,h,1172500,13/08/2016,2.5,3067,1,1,195
Abbotsford,7/20 Abbotsford St,1,u,441000,14/05/2016,2.5,3067,1,1,0
Abbotsford,16 William St,2,h,1310000,15/10/2016,2.5,3067,1,2,238
Abbotsford,42 Henry St,3,h,1200000,16/07/2016,2.5,3067,2,1,113
Abbotsford,78 Yarra St,3,h,1176500,16/07/2016,2.5,3067,1,1,138
Abbotsford,196 Nicholson St,3,h,955000,17/09/2016,2.5,3067,1,0,183
Abbotsford,42 Valiant St,2,h,890000,17/09/2016,2.5,3067,1,1,150
Abbotsford,3/72 Charles St,4,h,1330000,18/03/2017,2.5,3067,2,2,780
Abbotsford,13/11 Nicholson St,3,t,900000,18/03/2017,2.5,3067,2,2,0
Abbotsford,138/56 Nicholson St,3,u,1090000,18/03/2017,2.5,3067,2,2,4290
Abbotsford,6/219 Nicholson St,2,u,500000,18/06/2016,2.5,3067,1,1,0
Abbotsford,52a William St,2,h,1100000,18/06/2016,2.5,3067,2,1,124
Abbotsford,49 Park St,2,h,1315000,19/11/2016,2.5,3067,1,0,147
Abbotsford,5/20 Abbotsford St,1,u,426000,22/08/2016,2.5,3067,1,1,0
Abbotsford,48 Abbotsford St,3,h,1447500,22/08/2016,2.5,3067,3,1,166
Abbotsford,116/56 Nicholson St,1,u,457000,22/08/2016,2.5,3067,1,1,0
Abbotsford,159 Park St,2,h,1135000,22/08/2016,2.5,3067,2,2,98
Abbotsford,31 Turner St,4,h,1542000,24/09/2016,2.5,3067,3,1,0
Abbotsford,166 Gipps St,3,h,1290000,25/02/2017,2.5,3067,2,2,147
Abbotsford,60 Stafford St,3,h,1290000,25/02/2017,2.5,3067,1,1,168
Abbotsford,11/205 Gipps St,1,u,470000,26/07/2016,2.5,3067,1,1,0
