suburb,landsize_min,landsize_max,house_count,unit_count,townhouse_count,total_count,rooms_min,rooms_max,bathroom_min,bathroom_max,car_min,car_max
abbotsford,0.0,780.0,40.0,14.0,2.0,56.0,1.0,4.0,1.0,3.0,0.0,2.0
aberfeldie,0.0,1315.0,32.0,10.0,2.0,44.0,1.0,5.0,1.0,4.0,1.0,6.0
airport west,0.0,1063.0,44.0,13.0,10.0,67.0,2.0,6.0,1.0,3.0,1.0,6.0
albanvale,529.0,619.0,5.0,1.0,0.0,6.0,2.0,4.0,1.0,3.0,1.0,3.0
albert park,0.0,330.0,63.0,4.0,2.0,69.0,1.0,5.0,1.0,3.0,0.0,2.0
albion,423.0,837.0,26.0,11.0,4.0,41.0,1.0,5.0,1.0,2.0,0.0,7.0
alphington,60.0,979.0,24.0,7.0,3.0,34.0,1.0,5.0,0.0,4.0,0.0,4.0
altona,154.0,1057.0,42.0,22.0,10.0,74.0,2.0,5.0,1.0,3.0,0.0,6.0
altona meadows,459.0,749.0,5.0,1.0,0.0,6.0,3.0,4.0,1.0,2.0,1.0,2.0
altona north,0.0,1068.0,51.0,2.0,3.0,56.0,2.0,5.0,1.0,3.0,1.0,6.0
ardeer,603.0,739.0,3.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0
armadale,0.0,1581.0,41.0,47.0,7.0,95.0,1.0,6.0,0.0,4.0,0.0,4.0
ascot vale,0.0,1014.0,97.0,22.0,11.0,130.0,1.0,6.0,1.0,3.0,0.0,5.0
ashburton,276.0,1472.0,49.0,2.0,9.0,60.0,2.0,8.0,1.0,7.0,1.0,4.0
ashwood,280.0,964.0,34.0,7.0,5.0,46.0,2.0,5.0,1.0,3.0,1.0,4.0
aspendale,292.0,673.0,6.0,0.0,1.0,7.0,3.0,4.0,1.0,2.0,2.0,4.0
aspendale gardens,383.0,588.0,4.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0
attwood,607.0,607.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0
avondale heights,0.0,1801.0,63.0,7.0,4.0,74.0,2.0,5.0,1.0,5.0,0.0,8.0
bacchus marsh,612.0,612.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0
balaclava,147.0,339.0,7.0,19.0,1.0,27.0,1.0,4.0,0.0,2.0,0.0,2.0
balwyn,0.0,2051.0,75.0,21.0,11.0,107.0,1.0,6.0,0.0,7.0,0.0,7.0
balwyn north,177.0,75100.0,146.0,13.0,12.0,171.0,2.0,7.0,0.0,5.0,0.0,6.0
bayswater,255.0,1094.0,10.0,2.0,2.0,14.0,2.0,5.0,1.0,3.0,1.0,10.0
bayswater north,482.0,931.0,6.0,2.0,0.0,8.0,3.0,4.0,1.0,2.0,0.0,5.0
beaconsfield,900.0,900.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0
beaconsfield upper,1031.0,1031.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0
beaumaris,335.0,1254.0,15.0,0.0,3.0,18.0,2.0,6.0,1.0,4.0,2.0,4.0
bellfield,231.0,762.0,14.0,2.0,0.0,16.0,2.0,4.0,1.0,2.0,0.0,4.0
bentleigh,0.0,902.0,93.0,23.0,23.0,139.0,2.0,7.0,1.0,4.0,0.0,5.0
bentleigh east,0.0,1080.0,168.0,34.0,47.0,249.0,1.0,5.0,0.0,4.0,0.0,6.0
berwick,520.0,957.0,13.0,0.0,0.0,13.0,3.0,4.0,1.0,5.0,2.0,2.0
black rock,659.0,947.0,5.0,6.0,1.0,12.0,2.0,5.0,1.0,3.0,1.0,4.0
blackburn,335.0,1271.0,19.0,1.0,1.0,21.0,2.0,5.0,1.0,3.0,1.0,4.0
blackburn north,543.0,923.0,12.0,1.0,1.0,14.0,2.0,6.0,1.0,2.0,1.0,4.0
blackburn south,232.0,887.0,10.0,2.0,0.0,12.0,2.0,4.0,1.0,3.0,1.0,3.0
bonbeach,407.0,645.0,3.0,0.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0
boronia,439.0,2735.0,13.0,0.0,1.0,14.0,3.0,5.0,1.0,3.0,0.0,4.0
box hill,206.0,1100.0,38.0,16.0,5.0,59.0,1.0,6.0,1.0,4.0,0.0,4.0
braybrook,158.0,749.0,39.0,1.0,6.0,46.0,2.0,5.0,1.0,3.0,0.0,4.0
briar hill,392.0,1061.0,5.0,2.0,1.0,8.0,2.0,4.0,1.0,3.0,1.0,3.0
brighton,0.0,1572.0,111.0,49.0,26.0,186.0,1.0,6.0,0.0,6.0,0.0,6.0
brighton east,0.0,1561.0,104.0,18.0,16.0,138.0,1.0,8.0,1.0,5.0,0.0,5.0
broadmeadows,0.0,1312.0,21.0,1.0,1.0,23.0,1.0,4.0,1.0,2.0,0.0,5.0
brookfield,576.0,576.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0
brooklyn,191.0,780.0,4.0,3.0,2.0,9.0,2.0,3.0,1.0,2.0,1.0,3.0
brunswick,0.0,4676.0,159.0,42.0,21.0,222.0,1.0,5.0,1.0,3.0,0.0,6.0
brunswick east,0.0,822.0,48.0,28.0,12.0,88.0,1.0,4.0,1.0,3.0,0.0,3.0
brunswick west,0.0,726.0,67.0,35.0,8.0,110.0,1.0,7.0,1.0,3.0,0.0,4.0
bulleen,353.0,1124.0,62.0,4.0,5.0,71.0,1.0,5.0,1.0,4.0,0.0,4.0
bullengarook,4000.0,4000.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
bundoora,300.0,896.0,34.0,0.0,2.0,36.0,2.0,10.0,1.0,3.0,1.0,3.0
burnley,0.0,1212.0,7.0,0.0,0.0,7.0,2.0,3.0,1.0,2.0,0.0,2.0
burnside,461.0,631.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
burnside heights,419.0,480.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
burwood,261.0,1393.0,62.0,11.0,11.0,84.0,2.0,7.0,1.0,4.0,0.0,4.0
burwood east,189.0,788.0,13.0,2.0,1.0,16.0,2.0,5.0,1.0,2.0,1.0,2.0
cairnlea,295.0,638.0,7.0,0.0,0.0,7.0,3.0,4.0,2.0,2.0,1.0,2.0
camberwell,0.0,1133.0,87.0,33.0,12.0,132.0,2.0,8.0,0.0,8.0,0.0,8.0
campbellfield,534.0,766.0,4.0,0.0,0.0,4.0,3.0,4.0,1.0,2.0,1.0,4.0
canterbury,145.0,2079.0,37.0,10.0,7.0,54.0,2.0,5.0,1.0,5.0,0.0,4.0
carlton,0.0,9405.0,27.0,23.0,1.0,51.0,1.0,4.0,1.0,3.0,0.0,2.0
carlton north,73.0,4025.0,41.0,6.0,1.0,48.0,1.0,5.0,1.0,3.0,0.0,2.0
carnegie,0.0,932.0,61.0,70.0,15.0,146.0,1.0,5.0,1.0,3.0,0.0,4.0
caroline springs,238.0,750.0,9.0,0.0,2.0,11.0,3.0,5.0,1.0,5.0,1.0,4.0
carrum,355.0,1000.0,5.0,3.0,1.0,9.0,2.0,4.0,1.0,2.0,1.0,3.0
carrum downs,339.0,804.0,12.0,0.0,0.0,12.0,2.0,4.0,1.0,2.0,0.0,4.0
caulfield,261.0,593.0,4.0,7.0,1.0,12.0,1.0,5.0,1.0,3.0,0.0,2.0
caulfield east,0.0,875.0,7.0,2.0,0.0,9.0,2.0,5.0,0.0,2.0,0.0,2.0
caulfield north,270.0,836.0,13.0,22.0,0.0,35.0,1.0,4.0,1.0,2.0,0.0,3.0
caulfield south,0.0,708.0,30.0,13.0,4.0,47.0,1.0,5.0,1.0,4.0,1.0,4.0
chadstone,160.0,6000.0,20.0,4.0,11.0,35.0,2.0,5.0,1.0,3.0,1.0,3.0
chelsea,463.0,534.0,3.0,2.0,0.0,5.0,2.0,3.0,1.0,2.0,1.0,3.0
chelsea heights,534.0,650.0,4.0,0.0,0.0,4.0,3.0,5.0,1.0,5.0,1.0,4.0
cheltenham,350.0,1006.0,35.0,5.0,6.0,46.0,2.0,5.0,1.0,3.0,1.0,4.0
chirnside park,734.0,945.0,2.0,0.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0
clarinda,402.0,625.0,4.0,0.0,0.0,4.0,3.0,5.0,1.0,3.0,2.0,2.0
clayton,270.0,1040.0,10.0,3.0,0.0,13.0,3.0,6.0,1.0,3.0,1.0,4.0
clayton south,180.0,1226.0,9.0,2.0,0.0,11.0,2.0,4.0,1.0,2.0,1.0,4.0
clifton hill,0.0,533.0,43.0,11.0,3.0,57.0,1.0,4.0,1.0,3.0,0.0,2.0
coburg,0.0,1060.0,147.0,17.0,26.0,190.0,1.0,8.0,1.0,3.0,0.0,5.0
coburg north,104.0,973.0,48.0,2.0,6.0,56.0,1.0,5.0,1.0,3.0,0.0,5.0
collingwood,0.0,282.0,24.0,33.0,8.0,65.0,1.0,3.0,1.0,2.0,0.0,3.0
coolaroo,536.0,616.0,4.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,0.0,3.0
