suburb,total_sales,house_count,unit_count,townhouse_count,median_house_price,median_unit_price,median_townhouse_price,median_overall_price,avg_price,avg_rooms,avg_landsize,distance_to_cbd
abbotsford,56.0,40.0,14.0,2.0,2204697.0,914333.0,2137116.0,1998115.0,1879693.0,2.4,292.0,2.6
aberfeldie,44.0,32.0,10.0,2.0,2528839.0,771503.0,2023232.0,2291341.0,2106462.0,3.1,514.0,8.6
airport west,67.0,44.0,13.0,10.0,1462290.0,966725.0,1344400.0,1370310.0,1348540.0,3.0,432.0,12.5
albanvale,6.0,5.0,1.0,0.0,978226.0,731466.0,,953109.0,937099.0,3.0,501.0,14.0
albert park,69.0,63.0,4.0,2.0,3551579.0,1210934.0,2776709.0,3378847.0,3393429.0,2.7,176.0,3.2
albion,41.0,26.0,11.0,4.0,1272179.0,869114.0,599040.0,1113142.0,1098367.0,2.7,545.0,13.1
alphington,34.0,24.0,7.0,3.0,3198305.0,872868.0,1511095.0,2825863.0,2570667.0,3.0,454.0,6.2
altona,74.0,42.0,22.0,10.0,1681932.0,1088739.0,1349952.0,1412872.0,1460715.0,3.0,431.0,12.9
altona meadows,6.0,5.0,1.0,0.0,1321927.0,776412.0,,1207360.0,1231008.0,3.3,507.0,15.5
altona north,56.0,51.0,2.0,3.0,1426624.0,671962.0,1128045.0,1406531.0,1383676.0,3.2,517.0,10.6
ardeer,3.0,3.0,0.0,0.0,1136857.0,,,1136857.0,1136857.0,3.0,679.0,12.8
armadale,95.0,41.0,47.0,7.0,3613269.0,1112203.0,2261950.0,2115084.0,2276329.0,2.5,396.0,6.3
ascot vale,130.0,97.0,22.0,11.0,1991704.0,956359.0,1586313.0,1829548.0,1782190.0,2.9,387.0,5.5
ashburton,60.0,49.0,2.0,9.0,3134819.0,1255831.0,2679106.0,3113232.0,3003829.0,3.4,626.0,10.8
ashwood,46.0,34.0,7.0,5.0,2365193.0,1313996.0,1558024.0,2108739.0,2117492.0,3.1,561.0,11.8
aspendale,7.0,6.0,0.0,1.0,2159148.0,,1418869.0,2026955.0,2053394.0,3.4,444.0,21.5
aspendale gardens,4.0,4.0,0.0,0.0,1542249.0,,,1542249.0,1542249.0,3.2,527.0,21.5
attwood,1.0,1.0,0.0,0.0,1128045.0,,,1128045.0,1128045.0,3.0,607.0,16.5
avondale heights,74.0,63.0,7.0,4.0,1445307.0,938568.0,1314934.0,1408954.0,1390325.0,3.3,570.0,10.3
bacchus marsh,1.0,1.0,0.0,0.0,502332.0,,,502332.0,502332.0,3.0,612.0,37.5
balaclava,27.0,7.0,19.0,1.0,2599791.0,889763.0,1905294.0,976111.0,1370716.0,2.1,241.0,6.5
balwyn,107.0,75.0,21.0,11.0,4106789.0,1328978.0,2555727.0,3472704.0,3402156.0,3.4,546.0,9.3
balwyn north,171.0,146.0,13.0,12.0,3326895.0,1410056.0,2406327.0,3146188.0,3116569.0,3.7,1100.0,9.4
bayswater,14.0,10.0,2.0,2.0,1391549.0,916536.0,1321927.0,1299895.0,1313744.0,3.4,610.0,23.2
bayswater north,8.0,6.0,2.0,0.0,1309589.0,1057542.0,,1254950.0,1246577.0,3.1,629.0,23.2
beaconsfield,2.0,1.0,1.0,0.0,1180922.0,946500.0,,1063711.0,1063711.0,3.5,680.0,39.0
